Fecha,Ventas,Mes,Dia_Semana
2023-01-01,524.8357076505616,1,6
2023-01-02,579.1953782071131,1,0
2023-01-03,645.7265653086349,1,1
2023-01-04,643.3100308391781,1,2
2023-01-05,476.59031166238583,1,3
2023-01-06,430.3967386348081,1,4
2023-01-07,548.2761885485942,1,5
2023-01-08,593.7635097650117,1,6
2023-01-09,617.9835053042278,1,0
2023-01-10,695.7648685598397,1,1
2023-01-11,599.2177326710428,1,2
2023-01-12,520.1661972653865,1,3
2023-01-13,509.2703262529333,1,4
2023-01-14,428.62340542148723,1,5
2023-01-15,524.0103461221543,1,6
2023-01-16,668.0892900108098,1,0
2023-01-17,672.6131477043532,1,1
2023-01-18,692.5796731057864,1,2
2023-01-19,552.3805199706587,1,3
2023-01-20,480.72595845240227,1,4
2023-01-21,651.5682690944309,1,5
2023-01-22,652.7849587807418,1,6
2023-01-23,753.20643063428,1,0
2023-01-24,705.4422179767483,1,1
2023-01-25,702.8614752415527,1,2
2023-01-26,656.3194144877255,1,3
2023-01-27,546.5512230745413,1,4
2023-01-28,649.5886971364533,1,5
2023-01-29,686.3080940402674,1,6
2023-01-30,787.250033815405,1,0
2023-01-31,798.3276786993694,1,1
2023-02-01,874.1468996190783,2,2
2023-02-02,701.2601991031376,2,3
2023-02-03,602.0770133431229,2,4
2023-02-04,722.48315769311,2,5
2023-02-05,705.531087674642,2,6
2023-02-06,862.1830312143712,2,0
2023-02-07,779.9973823133126,2,1
2023-02-08,764.34527718246,2,2
2023-02-09,760.644485582177,2,3
2023-02-10,740.3881964721647,2,4
2023-02-11,738.0538565506819,2,5
2023-02-12,808.5389987374425,2,6
2023-02-13,884.0429248426333,2,0
2023-02-14,851.0147819819148,2,1
2023-02-15,841.3158350602382,2,2
2023-02-16,773.9082831030596,2,3
2023-02-17,802.0370913566555,2,4
2023-02-18,791.9518928950533,2,5
2023-02-19,771.0166012985788,2,6
2023-02-20,959.703532122554,2,0
2023-02-21,949.6345197457505,2,1
2023-02-22,886.9488614940093,2,2
2023-02-23,870.5428887200098,2,3
2023-02-24,843.2746576899282,2,4
2023-02-25,863.396588651468,2,5
2023-02-26,858.7804374531194,2,6
2023-02-27,969.1158628538111,2,0
2023-02-28,1026.0268876058633,2,1
2023-03-01,1009.6388748310908,3,2
2023-03-02,855.5523859551943,3,3
2023-03-03,821.4730681485462,3,4
2023-03-04,800.0205816423987,3,5
2023-03-05,878.9033995688529,3,6
2023-03-06,1062.6372753263581,3,0
2023-03-07,1114.1668815888777,3,1
2023-03-08,993.6036761364462,3,2
2023-03-09,965.4766076063888,3,3
2023-03-10,884.0680507059293,3,4
2023-03-11,857.7481756209713,3,5
2023-03-12,990.882345388738,3,6
2023-03-13,1132.4392182337597,3,0
2023-03-14,1077.5132958597242,3,1
2023-03-15,1107.8053070251203,3,2
2023-03-16,816.096959346544,3,3
2023-03-17,938.277195997615,3,4
2023-03-18,924.9603425642808,3,5
2023-03-19,987.8706392429842,3,6
2023-03-20,1089.5352750138402,3,0
2023-03-21,1008.7343701098912,3,1
2023-03-22,1046.793265996128,3,2
2023-03-23,992.5364238963658,3,3
2023-03-24,998.0637057922424,3,4
2023-03-25,921.069452057762,3,5
2023-03-26,988.1572128539887,3,6
2023-03-27,1085.004236992618,3,0
2023-03-28,1178.40997934963,3,1
2023-03-29,1098.122100096103,3,2
2023-03-30,971.4797024622698,3,3
2023-03-31,972.497317108301,3,4
2023-04-01,973.8787836856018,4,5
2023-04-02,1098.432249526645,4,6
2023-04-03,1095.7830535124438,4,0
2023-04-04,1136.4254315481205,4,1
2023-04-05,1081.622569301042,4,2
2023-04-06,943.7100713610232,4,3
2023-04-07,979.9328323539179,4,4
2023-04-08,999.7455892542661,4,5
2023-04-09,1067.2991042923097,4,6
2023-04-10,1135.5759467523367,4,0
2023-04-11,1097.8365983395602,4,1
2023-04-12,1095.370331951077,4,2
2023-04-13,1014.3039471777141,4,3
2023-04-14,938.9474358765561,4,4
2023-04-15,991.94522553873,4,5
2023-04-16,1099.9466265300812,4,6
2023-04-17,1253.701163124087,4,0
2023-04-18,1188.8086317688985,4,1
2023-04-19,1140.1450753172744,4,2
2023-04-20,1037.9751795236991,4,3
2023-04-21,892.7760590095094,4,4
2023-04-22,1007.7355095345043,4,5
2023-04-23,1091.2086909949844,4,6
2023-04-24,1290.4116863482186,4,0
2023-04-25,1177.7274100244822,4,1
2023-04-26,1149.0222095201118,4,2
2023-04-27,1046.0544832693258,4,3
2023-04-28,935.7925387001382,4,4
2023-04-29,1071.1374767904417,4,5
2023-04-30,1130.156536253379,4,6
2023-05-01,1210.5958835291183,5,0
2023-05-02,1145.10739151353,5,1
2023-05-03,1206.7572315474454,5,2
2023-05-04,979.8164933360233,5,3
2023-05-05,1025.139669608015,5,4
2023-05-06,1124.5461532564514,5,5
2023-05-07,1043.5221896654098,5,6
2023-05-08,1142.6861905113233,5,0
2023-05-09,1194.9895355525807,5,1
2023-05-10,1110.3532481868758,5,2
2023-05-11,970.7707564182028,5,3
2023-05-12,997.1114198507225,5,4
2023-05-13,959.2925767476287,5,5
2023-05-14,1113.6174613677065,5,6
2023-05-15,1121.4297994622827,5,0
2023-05-16,1263.4215244911927,5,1
2023-05-17,1091.8070521104958,5,2
2023-05-18,1027.1754745934302,5,3
2023-05-19,1028.8729181741633,5,4
2023-05-20,944.9248610430585,5,5
2023-05-21,1094.9251788178306,5,6
2023-05-22,1225.934151424186,5,0
2023-05-23,1098.2960684004777,5,1
2023-05-24,1132.524150253134,5,2
2023-05-25,1048.1807627250807,5,3
2023-05-26,1018.7897463630987,5,4
2023-05-27,935.7238216244258,5,5
2023-05-28,1008.2427472112869,5,6
2023-05-29,1177.006100049216,5,0
2023-05-30,1183.4786945702606,5,1
2023-05-31,1125.4122748566635,5,2
2023-06-01,1041.7489827152986,6,3
2023-06-02,934.5910259603845,6,4
2023-06-03,997.7404503288545,6,5
2023-06-04,1077.1474983549886,6,6
2023-06-05,1103.100873459809,6,0
2023-06-06,1249.5180670821155,6,1
2023-06-07,1123.8790415086946,6,2
2023-06-08,951.8705569160353,6,3
2023-06-09,988.1480989091216,6,4
2023-06-10,923.8505195157923,6,5
2023-06-11,1088.0433886075773,6,6
2023-06-12,1182.69179620222,6,0
2023-06-13,1100.8970056423418,6,1
2023-06-14,1133.8261791313462,6,2
2023-06-15,1017.3230115927413,6,3
2023-06-16,981.460041372346,6,4
2023-06-17,1052.2594366943674,6,5
2023-06-18,1021.0637550245877,6,6
2023-06-19,1071.5383345015382,6,0
2023-06-20,1081.748007695654,6,1
2023-06-21,1028.9993580795788,6,2
2023-06-22,976.8117290723924,6,3
2023-06-23,941.2583332344592,6,4
2023-06-24,954.9694241178271,6,5
2023-06-25,1058.289397297629,6,6
2023-06-26,1093.3649058936944,6,0
2023-06-27,1182.29334530397,6,1
2023-06-28,1039.8638645821438,6,2
2023-06-29,1099.9067320412296,6,3
2023-06-30,938.6509123664744,6,4
2023-07-01,881.3899134567478,7,5
2023-07-02,946.4553750969452,7,6
2023-07-03,1099.8758294845989,7,0
2023-07-04,1081.4593157554825,7,1
2023-07-05,1071.8017509928545,7,2
2023-07-06,970.5651749846342,7,3
2023-07-07,886.741912921052,7,4
2023-07-08,864.9455027967837,7,5
2023-07-09,907.3274039198807,7,6
2023-07-10,1036.5393682453237,7,0
2023-07-11,1118.6192052225463,7,1
2023-07-12,1030.0378726634087,7,2
2023-07-13,867.9231887365487,7,3
2023-07-14,882.4353171156287,7,4
2023-07-15,910.0407262670321,7,5
